YearWeekISO,ReportingCountry,Denominator,NumberDosesReceived,NumberDosesExported,FirstDose,FirstDoseRefused,SecondDose,DoseAdditional1,DoseAdditional2,DoseAdditional3,UnknownDose,Region,TargetGroup,Vaccine,Population
2020-W53,AT,7388778,0,0,0,,0,0,0,0,0,AT,ALL,VLA,8901064
2020-W53,AT,7388778,0,0,0,,0,0,0,0,0,AT,ALL,AZ,8901064
2020-W53,AT,7388778,0,0,0,,0,0,0,0,0,AT,ALL,COMBA.4-5,8901064
2020-W53,AT,7388778,0,0,0,,0,0,0,0,0,AT,ALL,NVXD,8901064
2020-W53,AT,7388778,0,0,0,,0,0,0,0,0,AT,ALL,MODBA.1,8901064
2020-W53,AT,7388778,0,0,0,,0,0,0,0,8,AT,ALL,UNK,8901064
2020-W53,AT,7388778,61425,0,5339,,0,0,0,0,0,AT,ALL,COM,8901064
2020-W53,AT,7388778,0,0,0,,0,0,0,0,0,AT,ALL,MOD,8901064
2020-W53,AT,7388778,0,0,0,,0,0,0,0,0,AT,ALL,JANSS,8901064
2020-W53,AT,7388778,0,0,0,,0,0,0,0,0,AT,ALL,COMBA.1,8901064
2020-W53,AT,433755,0,0,0,,0,0,0,0,0,AT,Age0_4,COMBA.1,8901064
2020-W53,AT,433755,0,0,0,,0,0,0,0,0,AT,Age0_4,NVXD,8901064
2020-W53,AT,433755,0,0,0,,0,0,0,0,0,AT,Age0_4,UNK,8901064
2020-W53,AT,433755,0,0,0,,0,0,0,0,0,AT,Age0_4,MOD,8901064
2020-W53,AT,433755,0,0,0,,0,0,0,0,0,AT,Age0_4,MODBA.1,8901064
2020-W53,AT,433755,0,0,0,,0,0,0,0,0,AT,Age0_4,JANSS,8901064
2020-W53,AT,433755,0,0,0,,0,0,0,0,0,AT,Age0_4,VLA,8901064
2020-W53,AT,433755,0,0,0,,0,0,0,0,0,AT,Age0_4,AZ,8901064
2020-W53,AT,433755,0,0,0,,0,0,0,0,0,AT,Age0_4,COMBA.4-5,8901064
2020-W53,AT,433755,0,0,1,,0,0,0,0,0,AT,Age0_4,COM,8901064
2020-W53,AT,423433,0,0,0,,0,0,0,0,0,AT,Age10_14,COMBA.4-5,8901064
2020-W53,AT,423433,0,0,0,,0,0,0,0,0,AT,Age10_14,MODBA.1,8901064
2020-W53,AT,423433,0,0,0,,0,0,0,0,0,AT,Age10_14,UNK,8901064
2020-W53,AT,423433,0,0,0,,0,0,0,0,0,AT,Age10_14,COM,8901064
2020-W53,AT,423433,0,0,0,,0,0,0,0,0,AT,Age10_14,JANSS,8901064
2020-W53,AT,423433,0,0,0,,0,0,0,0,0,AT,Age10_14,NVXD,8901064
2020-W53,AT,423433,0,0,0,,0,0,0,0,0,AT,Age10_14,MOD,8901064
2020-W53,AT,423433,0,0,0,,0,0,0,0,0,AT,Age10_14,COMBA.1,8901064
2020-W53,AT,423433,0,0,0,,0,0,0,0,0,AT,Age10_14,AZ,8901064
2020-W53,AT,423433,0,0,0,,0,0,0,0,0,AT,Age10_14,VLA,8901064
2020-W53,AT,258398,0,0,0,,0,0,0,0,0,AT,Age15_17,MODBA.1,8901064
2020-W53,AT,258398,0,0,0,,0,0,0,0,0,AT,Age15_17,NVXD,8901064
2020-W53,AT,258398,0,0,0,,0,0,0,0,0,AT,Age15_17,COMBA.4-5,8901064
2020-W53,AT,258398,0,0,0,,0,0,0,0,0,AT,Age15_17,COMBA.1,8901064
2020-W53,AT,258398,0,0,5,,0,0,0,0,0,AT,Age15_17,COM,8901064
2020-W53,AT,258398,0,0,0,,0,0,0,0,0,AT,Age15_17,VLA,8901064
2020-W53,AT,258398,0,0,0,,0,0,0,0,0,AT,Age15_17,UNK,8901064
2020-W53,AT,258398,0,0,0,,0,0,0,0,0,AT,Age15_17,AZ,8901064
2020-W53,AT,258398,0,0,0,,0,0,0,0,0,AT,Age15_17,JANSS,8901064
2020-W53,AT,258398,0,0,0,,0,0,0,0,0,AT,Age15_17,MOD,8901064
2020-W53,AT,683584,0,0,0,,0,0,0,0,0,AT,Age18_24,VLA,8901064
2020-W53,AT,683584,0,0,0,,0,0,0,0,0,AT,Age18_24,NVXD,8901064
2020-W53,AT,683584,0,0,0,,0,0,0,0,0,AT,Age18_24,JANSS,8901064
2020-W53,AT,683584,0,0,0,,0,0,0,0,0,AT,Age18_24,AZ,8901064
2020-W53,AT,683584,0,0,0,,0,0,0,0,1,AT,Age18_24,UNK,8901064
2020-W53,AT,683584,0,0,0,,0,0,0,0,0,AT,Age18_24,MOD,8901064
2020-W53,AT,683584,0,0,0,,0,0,0,0,0,AT,Age18_24,COMBA.1,8901064
2020-W53,AT,683584,0,0,0,,0,0,0,0,0,AT,Age18_24,COMBA.4-5,8901064
2020-W53,AT,683584,0,0,0,,0,0,0,0,0,AT,Age18_24,MODBA.1,8901064
2020-W53,AT,683584,0,0,91,,0,0,0,0,0,AT,Age18_24,COM,8901064
2020-W53,AT,3002329,0,0,0,,0,0,0,0,0,AT,Age25_49,COMBA.1,8901064
2020-W53,AT,3002329,0,0,0,,0,0,0,0,0,AT,Age25_49,JANSS,8901064
2020-W53,AT,3002329,0,0,0,,0,0,0,0,0,AT,Age25_49,NVXD,8901064
2020-W53,AT,3002329,0,0,1330,,0,0,0,0,0,AT,Age25_49,COM,8901064
2020-W53,AT,3002329,0,0,0,,0,0,0,0,0,AT,Age25_49,MODBA.1,8901064
2020-W53,AT,3002329,0,0,0,,0,0,0,0,0,AT,Age25_49,COMBA.4-5,8901064
2020-W53,AT,3002329,0,0,0,,0,0,0,0,0,AT,Age25_49,MOD,8901064
2020-W53,AT,3002329,0,0,0,,0,0,0,0,0,AT,Age25_49,VLA,8901064
2020-W53,AT,3002329,0,0,0,,0,0,0,0,5,AT,Age25_49,UNK,8901064
2020-W53,AT,3002329,0,0,0,,0,0,0,0,0,AT,Age25_49,AZ,8901064
2020-W53,AT,1399348,0,0,0,,0,0,0,0,0,AT,Age50_59,VLA,8901064
2020-W53,AT,1399348,0,0,0,,0,0,0,0,0,AT,Age50_59,MODBA.1,8901064
2020-W53,AT,1399348,0,0,0,,0,0,0,0,0,AT,Age50_59,COMBA.1,8901064
2020-W53,AT,1399348,0,0,0,,0,0,0,0,0,AT,Age50_59,COMBA.4-5,8901064
2020-W53,AT,1399348,0,0,0,,0,0,0,0,0,AT,Age50_59,AZ,8901064
2020-W53,AT,1399348,0,0,0,,0,0,0,0,0,AT,Age50_59,JANSS,8901064
2020-W53,AT,1399348,0,0,1051,,0,0,0,0,0,AT,Age50_59,COM,8901064
2020-W53,AT,1399348,0,0,0,,0,0,0,0,2,AT,Age50_59,UNK,8901064
2020-W53,AT,1399348,0,0,0,,0,0,0,0,0,AT,Age50_59,MOD,8901064
2020-W53,AT,1399348,0,0,0,,0,0,0,0,0,AT,Age50_59,NVXD,8901064
2020-W53,AT,428300,0,0,0,,0,0,0,0,0,AT,Age5_9,COMBA.1,8901064
2020-W53,AT,428300,0,0,0,,0,0,0,0,0,AT,Age5_9,MODBA.1,8901064
2020-W53,AT,428300,0,0,0,,0,0,0,0,0,AT,Age5_9,COMBA.4-5,8901064
2020-W53,AT,428300,0,0,0,,0,0,0,0,0,AT,Age5_9,AZ,8901064
2020-W53,AT,428300,0,0,0,,0,0,0,0,0,AT,Age5_9,MOD,8901064
2020-W53,AT,428300,0,0,0,,0,0,0,0,0,AT,Age5_9,VLA,8901064
2020-W53,AT,428300,0,0,0,,0,0,0,0,0,AT,Age5_9,JANSS,8901064
2020-W53,AT,428300,0,0,1,,0,0,0,0,0,AT,Age5_9,COM,8901064
2020-W53,AT,428300,0,0,0,,0,0,0,0,0,AT,Age5_9,UNK,8901064
2020-W53,AT,428300,0,0,0,,0,0,0,0,0,AT,Age5_9,NVXD,8901064
2020-W53,AT,1047888,0,0,0,,0,0,0,0,0,AT,Age60_69,NVXD,8901064
2020-W53,AT,1047888,0,0,0,,0,0,0,0,0,AT,Age60_69,MOD,8901064
2020-W53,AT,1047888,0,0,0,,0,0,0,0,0,AT,Age60_69,COMBA.4-5,8901064
